"Year","Comm.Dead","Comm.Live","Rec.Shore","Rec.Boat","Total Catch","Total Dead"
1916,"0.00","0.00","0.04","0.00","0.04","0.04"
1917,"0.00","0.00","0.04","0.00","0.04","0.04"
1918,"0.00","0.00","0.04","0.00","0.04","0.04"
1919,"0.00","0.00","0.04","0.00","0.04","0.04"
1920,"0.00","0.00","0.04","0.00","0.04","0.04"
1921,"0.00","0.00","0.04","0.00","0.04","0.04"
1922,"0.00","0.00","0.04","0.00","0.04","0.04"
1923,"0.00","0.00","0.04","0.00","0.04","0.04"
1924,"0.00","0.00","0.04","0.00","0.04","0.04"
1925,"0.00","0.00","0.04","0.00","0.04","0.04"
1926,"0.00","0.00","0.04","0.00","0.04","0.04"
1927,"0.00","0.00","0.04","0.00","0.04","0.04"
1928,"0.00","0.00","0.04","0.06","0.10","0.10"
1929,"0.00","0.00","0.09","0.11","0.20","0.20"
1930,"0.00","0.00","0.13","0.16","0.29","0.29"
1931,"0.00","0.00","0.17","0.22","0.39","0.39"
1932,"0.00","0.00","0.22","0.27","0.49","0.49"
1933,"0.03","0.00","0.26","0.33","0.62","0.62"
1934,"0.00","0.00","0.30","0.38","0.68","0.68"
1935,"0.07","0.00","0.34","0.44","0.85","0.85"
1936,"0.01","0.00","0.48","0.62","1.11","1.11"
1937,"0.00","0.00","0.32","0.41","0.73","0.73"
1938,"0.00","0.00","0.91","1.16","2.07","2.07"
1939,"0.00","0.00","0.34","0.43","0.77","0.77"
1940,"0.03","0.00","0.32","0.41","0.76","0.76"
1941,"0.04","0.00","0.68","0.86","1.58","1.58"
1942,"0.00","0.00","0.68","0.86","1.54","1.54"
1943,"0.00","0.00","0.68","0.86","1.54","1.54"
1944,"0.02","0.00","0.68","0.86","1.56","1.56"
1945,"0.00","0.00","0.68","0.86","1.54","1.54"
1946,"0.00","0.00","0.68","0.86","1.54","1.54"
1947,"0.01","0.00","2.07","2.64","4.72","4.72"
1948,"0.01","0.00","2.34","2.97","5.32","5.32"
1949,"0.01","0.00","3.04","3.87","6.92","6.92"
1950,"0.29","0.00","2.37","3.01","5.67","5.67"
1951,"0.02","0.00","2.17","2.77","4.96","4.96"
1952,"0.05","0.00","2.93","3.72","6.70","6.70"
1953,"0.02","0.00","4.35","5.54","9.91","9.91"
1954,"0.00","0.00","9.94","12.65","22.59","22.59"
1955,"0.01","0.00","9.59","12.20","21.80","21.80"
1956,"0.06","0.00","10.88","17.93","28.87","28.87"
1957,"0.37","0.00","7.95","13.10","21.42","21.42"
1958,"0.07","0.00","5.36","8.83","14.26","14.26"
1959,"0.01","0.00","1.37","2.26","3.64","3.64"
1960,"0.00","0.00","0.66","1.08","1.74","1.74"
1961,"0.01","0.00","0.78","1.28","2.07","2.07"
1962,"0.00","0.00","2.39","3.94","6.33","6.33"
1963,"0.01","0.00","4.81","7.93","12.75","12.75"
1964,"0.07","0.00","3.82","6.31","10.20","10.20"
1965,"0.02","0.00","3.96","10.81","14.79","14.79"
1966,"0.05","0.00","6.06","16.52","22.63","22.63"
1967,"0.04","0.00","4.08","8.55","12.67","12.67"
1968,"0.06","0.00","2.90","6.09","9.05","9.05"
1969,"0.04","0.00","2.77","5.82","8.63","8.63"
1970,"0.09","0.00","3.54","7.42","11.05","11.05"
1971,"0.02","0.00","3.66","12.79","16.47","16.47"
1972,"0.04","0.00","10.67","37.30","48.01","48.01"
1973,"0.02","0.00","4.27","14.93","19.22","19.22"
1974,"0.07","0.00","4.35","15.22","19.64","19.64"
1975,"0.03","0.00","6.47","22.61","29.11","29.11"
1976,"0.09","0.00","4.28","14.97","19.34","19.34"
1977,"0.11","0.00","2.77","9.68","12.56","12.56"
1978,"0.33","0.00","4.09","14.29","18.71","18.71"
1979,"0.22","0.00","3.06","10.69","13.97","13.97"
1980,"3.64","0.00","9.13","20.60","33.37","33.37"
1981,"0.27","0.00","4.00","25.62","29.88","29.88"
1982,"0.29","0.00","4.80","23.59","28.67","28.67"
1983,"0.19","0.00","6.38","13.86","20.43","20.43"
1984,"0.05","0.00","4.18","21.80","26.03","26.03"
1985,"0.11","0.00","3.06","14.26","17.43","17.43"
1986,"0.18","0.00","7.44","24.59","32.21","32.21"
1987,"0.30","0.00","3.70","24.73","28.72","28.72"
1988,"0.50","0.00","5.17","15.95","21.63","21.63"
1989,"0.48","0.00","5.12","17.18","22.78","22.78"
1990,"0.62","0.00","3.49","16.89","21.00","21.00"
1991,"1.63","0.00","3.51","16.30","21.44","21.44"
1992,"0.44","0.00","5.80","21.89","28.13","28.13"
1993,"0.40","0.00","3.58","14.39","18.36","18.36"
1994,"0.72","5.63","1.91","11.76","20.03","20.03"
1995,"0.81","9.85","2.93","12.50","26.09","26.09"
1996,"0.46","10.68","1.38","12.01","24.53","24.53"
1997,"0.62","11.95","1.84","5.34","19.75","19.75"
1998,"0.68","16.90","2.98","7.28","27.84","27.84"
1999,"0.35","14.16","3.24","11.40","29.15","29.15"
2000,"0.89","21.82","0.58","6.10","29.39","29.39"
2001,"0.61","13.75","3.01","5.53","22.91","22.91"
2002,"0.38","6.47","3.25","8.51","18.61","18.61"
2003,"0.39","5.51","1.95","7.73","15.57","15.57"
2004,"0.24","5.67","3.10","3.83","12.84","12.84"
2005,"0.47","2.20","9.76","2.84","15.27","15.27"
2006,"0.32","2.99","2.59","2.29","8.18","8.18"
2007,"0.07","3.22","2.47","4.91","10.67","10.67"
2008,"0.16","3.63","3.13","1.53","8.45","8.45"
2009,"0.04","3.60","2.57","5.12","11.33","11.33"
2010,"0.14","4.67","0.63","3.85","9.29","9.29"
2011,"0.13","5.27","2.42","5.20","13.02","13.02"
2012,"0.23","6.11","4.19","3.52","14.05","14.05"
2013,"0.12","6.19","2.45","5.31","14.07","14.07"
2014,"0.30","5.03","2.55","4.08","11.95","11.95"
2015,"0.25","3.12","1.32","0.75","5.44","5.44"
2016,"0.04","2.68","3.73","1.99","8.44","8.44"
2017,"0.21","2.64","0.18","0.62","3.65","3.65"
2018,"0.92","1.66","2.00","0.62","5.20","5.20"
