"Years","Comm.Dead","Comm.Live","Rec.Shore","Rec.Boat","Total Catch","Total Dead"
2007,"0.07","3.22","2.47","4.91","10.67","10.67"
2008,"0.16","3.63","3.13","1.53","8.45","8.45"
2009,"0.04","3.60","2.57","5.12","11.33","11.33"
2010,"0.14","4.67","0.63","3.85","9.29","9.29"
2011,"0.13","5.27","2.42","5.20","13.02","13.02"
2012,"0.23","6.11","4.19","3.52","14.05","14.05"
2013,"0.12","6.19","2.45","5.31","14.07","14.07"
2014,"0.30","5.03","2.55","4.08","11.95","11.95"
2015,"0.25","3.12","1.32","0.75","5.44","5.44"
2016,"0.04","2.68","3.73","1.99","8.44","8.44"
2017,"0.21","2.64","0.18","0.62","3.65","3.65"
2018,"0.92","1.66","2.00","0.62","5.20","5.20"
