"Years","Spawning Output","95% Asymptotic Interval","Estimated Depletion (%)","95% Asymptotic Interval"
2007,"62","4–119","30.3","1.3–59.3"
2008,"67","4–129","32.5","1.3–63.8"
2009,"73","6–140","35.7","2.2–69.2"
2010,"79","7–151","38.5","2.6–74.4"
2011,"84","9–160","41.3","3.7–78.8"
2012,"86","8–164","41.9","3.7–80.1"
2013,"85","6–164","41.4","2.9–79.9"
2014,"82","3–160","39.9","1.7–78.0"
2015,"79","1–157","38.8","1.2–76.3"
2016,"83","5–160","40.3","3.2–77.4"
2017,"84","7–162","41.1","4.4–77.7"
2018,"90","12–169","44.2","7.5–80.9"
2019,"101","19–183","49.2","11.0–87.4"
