"","Estimate","95% Asymptotic Interval"
"Unfished Spawning Biomass (mt)","205","161–248"
"Unfished Age 2+ Biomass (mt)","287","233–341"
"Spawning Biomass (2019)","101","19–183"
"Unfished Recruitment (R0)","184","77–291"
"Depletion (2019)","49.17","10.98–87.36"
"Reference Points Based SB40%","",""
"Proxy Spawning Biomass (SB40%)","82","65–99"
"SPR resulting in SB40%","0.464","0.464–0.464"
"Exploitation Rate Resulting in SB40%","0.123","0.101–0.146"
"Yield with SPR Based On SB40% (mt)","17","13–22"
"Reference Points based on SPR proxy for MSY","",""
"Proxy spawning biomass (SPR50)","79","62–95"
"SPR50","0.450"," NA "
"Exploitation rate corresponding to SPR50","0.129","0.105–0.152"
"Yield with SPR50 at SBSPR (mt)","17","13–22"
"Reference points based on estimated MSY values","",""
"Spawning biomass at MSY (SBMSY)","56","43–69"
"SPRMSY","0.353","0.343–0.362"
"Exploitation rate corresponding to SPRMSY","0.174","0.141–0.208"
"MSY (mt)","18","14–23"
